活跃借记卡数量,活跃信用卡数量,活跃借记卡银行总和,活跃信用卡银行总和,活跃银行,拥有超过5张借记卡的用户数,拥有超过10张借记卡的用户数,拥有超过5张信用卡的用户数,拥有超过10张信用卡的用户数,拥有超过50张信用卡的用户数,拥有超过5家借记卡银行的用户数,拥有超过10家借记卡银行的用户数,拥有超过5家信用卡银行的用户数,拥有超过10家信用卡银行的用户数,拥有超过5家银行的用户数,拥有超过10家银行的用户数,独立用户数,短信条数,dt,prov
7640635,2521601,7093620,2450813,9407646,637762,635623,651913,635880,635479,635632,635474,647835,635495,660629,635555,7960637,7960637,2019/3/1,黑龙江
37859065,7985442,30236468,7188321,36103479,687896,332456,528273,330728,320975,365789,321365,455416,322256,782565,337986,20494601,20494601,2020/8/1,贵州
13882576,3470530,12006201,3298617,15138952,1250027,1207868,1210978,1205565,1205511,1210161,1205699,1206681,1205510,1259635,1205827,11344837,11344837,2020/8/1,内蒙古
11968586,3111002,10459121,2978961,13315462,1325208,1300279,1302336,1299078,1299040,1301336,1299106,1299734,1299040,1332451,1299150,10553771,10553771,2020/1/1,内蒙古
48104731,16874382,43666450,15679800,55409616,934608,693139,1166140,718619,681315,768655,683147,1058547,692842,1610673,736889,29692145,29692145,2020/1/1,湖北
12288783,5767538,10520910,5385803,15453817,589730,561507,707553,565328,559782,561939,559813,670350,560565,752700,563520,10467361,10467361,2019/9/1,吉林
5337301,4458887,4777700,4106206,8479217,510243,493112,608273,502509,487471,492351,487632,576866,492568,629697,498359,5394897,5394897,2019/11/1,天津
11064808,2825608,9738219,2705599,12339216,1276932,1259425,1260980,1258577,1258546,1260163,1258576,1258940,1258546,1283759,1258607,10020712,10020712,2019/11/1,内蒙古
34043813,9675761,29291733,9133180,36994019,1059258,952288,1126084,948226,941673,953860,941791,1076427,943058,1274188,949161,25116134,25116134,2019/7/1,湖南
5661338,3027000,4691819,2795077,7012671,214413,182131,270425,185016,180376,184045,180434,246762,181194,314870,184615,3920417,3920417,2019/12/1,宁夏
4350850,3491538,4070631,3410630,7265175,739109,736511,755088,736468,736278,736471,736278,749764,736288,762992,736321,5921951,5921951,2019/3/1,山西
12713896,5641644,11406882,5076765,15547849,463328,420551,528331,422414,417349,425880,417588,480654,417834,588567,421285,9700170,9700170,2020/5/1,甘肃
7515860,3383682,6756943,3103444,9197574,143655,105909,207400,109505,103524,115918,103682,178943,104626,286251,109818,4945680,4945680,2020/3/1,海南
54921442,15416360,46068118,14039536,58020601,1831755,1597406,1904284,1597290,1570820,1612378,1572772,1795150,1577687,2120261,1599906,38170658,38170658,2020/3/1,四川
56312422,14754233,46461860,13487055,56810735,1249371,781745,1140456,770791,745028,826599,747339,1018260,750326,1531028,780448,33259177,33259177,2020/8/1,湖南
21996674,10058026,18987757,9283527,26749192,1379653,1315022,1607217,1324334,1307115,1316489,1307271,1530098,1310051,1714677,1321600,17859879,17859879,2019/11/1,云南
35766538,7720626,28683291,6984236,34445347,660445,356716,540762,355535,347184,383745,347515,474647,348303,772655,362065,19850815,19850815,2020/6/1,贵州
19161309,14003387,17041928,13197480,28822473,1202662,1146268,1530556,1158424,1142653,1151536,1142607,1441342,1144557,1718811,1154036,17023319,17023319,2019/6/1,福建
50096013,23452628,44056924,21703305,63179858,2315780,2140234,2708615,2160165,2112832,2153035,2113725,2545386,2125401,3020826,2158498,39341099,39341099,2019/9/1,江苏
28312080,8994159,24446374,8258283,31231397,709837,543006,792472,552309,532462,570864,533598,727451,537905,999875,559709,17964391,17964391,2020/5/1,重庆
92242254,58501055,81593130,53169348,127956469,4008262,3611628,5510429,3773257,3566674,3673113,3569934,5042103,3639920,6245197,3770636,72454123,72454123,2020/1/1,广东
64273166,28600886,56720178,26677992,79685642,1424582,1152099,2053813,1189575,1133386,1202254,1134694,1847207,1147564,2692009,1207973,44900207,44900207,2020/2/1,河南
115447018,41200039,101358939,37067121,128173326,2666152,1178223,2462376,1263352,1051193,1703697,1066200,2115642,1133988,4180865,1382340,57367500,57367500,2020/6/1,江苏
17052614,7748201,15512491,7379263,22198407,872334,853785,1029864,857402,852584,854779,852593,990957,853379,1108378,856444,15577023,15577023,2019/6/1,广西
44360001,21342305,39311020,19885449,57107280,2191212,2066035,2557386,2082601,2046593,2072020,2046951,2419304,2056090,2802060,2078880,36694568,36694568,2019/7/1,江苏
16774126,5668268,14333051,5108987,18464278,628032,562741,687363,565418,557558,570116,557952,643896,558925,754942,565918,12280061,12280061,2020/5/1,新疆
20273018,10728345,15093396,9187677,22631992,1155849,1009841,1162702,945243,914470,938438,915246,1059061,921385,1217581,935258,13667068,13667068,2019/10/1,上海
1985523,1545299,1875263,1481512,3268683,441545,440333,459109,441007,440171,440281,440171,453753,440429,461089,440625,2809441,2809441,2019/3/1,天津
565183,169266,509039,155469,630056,94781,93680,94691,93670,93611,93829,93624,94086,93618,95360,93655,560998,560998,2020/1/1,西藏
21422693,12957863,19584493,12113582,30514066,1568620,1520157,1844130,1528435,1515813,1526398,1516011,1759422,1517752,1957915,1525514,20083989,20083989,2019/9/1,河北
12229546,4266676,10972000,4092423,14791691,637743,628920,697059,630444,628516,629325,628504,682274,628739,729409,629621,11100722,11100722,2019/4/1,黑龙江
4063836,1067864,3257071,941801,4027628,113857,92056,110385,92040,91312,92625,91322,101848,91349,118519,91862,2834087,2834087,2019/12/1,青海
22715958,5198030,19086447,4832703,23392303,476816,409539,494114,409267,407780,413037,407801,466075,407903,582459,410205,15562352,15562352,2019/7/1,贵州
13307841,7973754,12469600,7684993,19652209,1350264,1338901,1459622,1340048,1338056,1339675,1338063,1433258,1338333,1510902,1339297,14653010,14653010,2019/4/1,河北
36785031,7858160,29419514,7088614,35238150,672410,343738,533902,342298,333298,373672,333657,464290,334494,776481,349215,20154191,20154191,2020/7/1,贵州
9512229,4187775,8329948,3992998,12063704,606096,594195,678763,595258,593545,594068,593544,659757,593728,706887,594450,8867561,8867561,2019/5/1,吉林
29021659,9161785,25009593,8397091,31874437,708242,528407,784961,537884,516838,558741,518095,717235,522570,1002279,545953,18176726,18176726,2020/6/1,重庆
4366070,2418324,3727932,2259938,5644034,214236,199190,257308,200243,198235,199663,198250,241630,198463,283307,199577,3448641,3448641,2019/8/1,宁夏
29710936,9328392,25555173,8533586,32493767,703777,510931,774250,520589,498364,543788,499741,703713,504407,1000922,529231,18383255,18383255,2020/7/1,重庆
17335034,10064472,15533077,9406519,24083248,1273130,1233130,1497667,1249512,1229357,1238735,1229561,1439490,1235530,1582406,1246793,15974901,15974901,2019/10/1,辽宁
3177493,2278232,2851171,2131898,4755502,196953,192762,237573,193371,192312,193011,192314,223565,192388,250354,192711,3233514,3233514,2019/7/1,海南
655067,189537,586536,172572,716401,112268,110616,111859,110586,110511,110845,110527,111088,110521,112779,110579,630952,630952,2020/6/1,西藏
65538968,34495930,58164324,31777312,86457234,1382186,1042906,2264510,1132502,1014035,1116924,1019545,2002443,1050446,2985013,1165556,45996302,45996302,2020/7/1,山东
94199751,59393737,83227837,53862085,130104543,4046381,3627133,5571386,3794986,3578973,3694961,3582911,5084592,3655011,6334009,3793159,73225120,73225120,2020/2/1,广东
32658093,22102284,28248391,20092063,44897085,1035223,796793,1602925,848131,777197,840030,778697,1394011,790778,2037028,849836,22129880,22129880,2020/6/1,福建
31214617,21495159,27073164,19625050,43456510,1057095,846387,1615955,894088,829503,883487,830737,1421502,842007,2023000,894792,21733884,21733884,2020/4/1,福建
6641725,1716283,6034909,1676363,7684228,1059051,1056149,1056153,1056006,1055998,1056094,1055998,1056001,1055998,1058977,1055998,7152959,7152959,2019/4/1,内蒙古
9965185,3748487,8947672,3488153,11984421,521954,508907,569271,509543,507638,509615,507664,551424,507920,593942,509164,8887059,8887059,2019/7/1,新疆
26675758,16879961,24167782,15640362,38084956,1584025,1493351,2001436,1518399,1484665,1509169,1485509,1877051,1493011,2189747,1516567,23038207,23038207,2020/2/1,河北
58657653,37673926,53104625,35519955,85472725,4102112,3983687,4939988,4032325,3973161,3992547,3973259,4752297,3994104,5276808,4028450,56012129,56012129,2019/5/1,广东
24402508,15169352,21630379,13597006,33102191,1266682,1117585,1473262,1146393,1098264,1150461,1101312,1360178,1113892,1669966,1144807,17901153,17901153,2020/2/1,北京
23315018,8748152,20446040,8056851,27228883,832840,672874,899621,673660,657561,700355,659002,832131,661446,1119199,684740,15914713,15914713,2020/6/1,江西
59220971,16236970,49497531,14699734,61759549,1822544,1532752,1865620,1530451,1499379,1554280,1502154,1742147,1507167,2122226,1534613,39654514,39654514,2020/6/1,四川
2866440,2353350,2670669,2218457,4736881,472526,468983,517554,471531,468332,468806,468330,504616,469348,521647,470252,3618441,3618441,2019/4/1,天津
24423921,11123014,20785610,10230040,29275931,1398858,1309755,1648682,1321990,1298861,1312321,1299149,1559724,1303307,1781309,1320009,18920151,18920151,2020/1/1,云南
25771912,8374138,22442574,7748293,28947297,705614,581722,806891,590498,574325,601001,574901,751954,578921,982133,595736,17150575,17150575,2020/1/1,重庆
