var,0,1,2,3,4,5,6,7,8,9,dt
other_budget__42_cnt_3m,1477715667,222348094,128894046,157963908,87349655,51510175,31074129,42758239,22171791,12288297,2020-02-01
taxi__41_cnt_6m,2211117772,19551548,1814242,590425,322458,396778,280604,174,0,0,2020-02-01
yys__20_amount_sum_6m,959463035,407427945,204214480,186109123,89187156,80433444,124296342,91381941,91560535,0,2020-02-01
takeoutfood__7_cnt_1m,2209627150,17227102,4788181,1371683,580740,478526,619,0,0,0,2020-02-01
yys__1_cnt_6m,1676248756,238997803,122365487,104220584,40520935,19791297,14713907,12137150,3755969,1322113,2020-02-01
train__7_cnt_1m,2227676994,4547971,1068537,357368,174743,207033,41355,0,0,0,2020-02-01
takeoutfood__87_cnt_6m,2167272428,44265113,11663299,5052822,2758020,1910906,1123202,28211,0,0,2020-02-01
renting__156_cnt_3m,2227693159,4013120,1161430,459531,220869,120344,210007,193246,2295,0,2020-02-01
taxi__6_cnt_6m,2101524008,50947606,23188626,21163126,9878705,5809359,2077185,9321488,5926790,4237108,2020-02-01
train__5_cnt_1m,2175408282,28703414,13116823,6363460,3796275,2226893,2376654,2067483,14717,0,2020-02-01
train__6_amount_sum_6m,2226992542,1405745,939954,1537118,665962,446998,925141,674431,486110,0,2020-02-01
yys__15_amount_max_1m,1456164849,83856522,83668711,133707927,153408222,40410961,190748983,47863803,44244023,0,2020-02-01
takeoutfood__508_amount_sum_6m,2204763990,2498727,4985356,5537181,3042654,8995012,3880166,370915,0,0,2020-02-01
yys__15_cnt_1m,1142989019,316242081,208985829,146808392,179025831,94046470,29298144,60418800,31392870,24866565,2020-02-01
room__508_amount_cnt_6m,2229118604,2884920,469770,286251,451865,185356,129382,333145,127183,87525,2020-02-01
renting__7_cnt_3m,2233841541,167408,36409,10588,5566,3117,9033,339,0,0,2020-02-01
renting__6_amount_sum_1m,2233901148,69,2573,1427,145019,7579,4333,2737,6125,2991,2020-02-01
renting__7_amount_sum_3m,2234002236,3740,14250,8869,7736,3375,4838,6644,6439,15874,2020-02-01
other_budget__42_wechatpay_amount_sum_6m,2069681067,15068523,14408643,22226187,14788519,14266366,33232172,27806142,22596382,0,2020-02-01
renting__152_amount_sum_1m,2233993732,1639,10101,6090,3093,5106,3236,17536,15221,18247,2020-02-01
takeoutfood__508_amount_cnt_6m,2204763962,21703355,5009527,1648006,584273,364858,20,0,0,0,2020-02-01
renting__6_amount_cnt_1m,2233901148,156258,10133,2931,870,1738,923,0,0,0,2020-02-01
yys__20_amount_cnt_1m,1220346534,762988362,102954958,46006526,23843705,25787474,23719113,28400425,26904,0,2020-02-01
other_budget__42_orgcnt_6m,1326615817,305516139,196124563,130804321,85416883,60865477,78450451,30202308,11933767,8144275,2020-02-01
renting__156_cnt_1m,2232072236,1267288,389075,136247,64804,33208,57804,53234,105,0,2020-02-01
restaurant__7_cnt_1m,2233844796,123317,61002,34664,9339,883,0,0,0,0,2020-02-01
train__6_amount_cnt_6m,2226972367,5524161,986996,461628,121670,7179,0,0,0,0,2020-02-01
room__11_cnt_1m,2232455674,1208707,260369,71448,28457,11988,34817,2541,0,0,2020-02-01
other_budget__42_cnt_6m,1291640948,247558277,229562907,138263135,125088092,49691587,45233594,51946338,35384110,19705013,2020-02-01
renting__1_cnt_3m,2224938753,6348491,1449555,478383,247431,196044,173611,240659,1074,0,2020-02-01
