var,0,1,2,3,4,5,6,7,8,9,dt
donn_wwwofcrnw_om3,472734426,147246,574,0,0,0,0,0,0,0,2020-02-01
cc1n_wwwlncrnw_m3,398720876,24669305,18229021,14558403,4851396,3543976,2409787,2984642,2914808,32,2020-02-01
cc1n_wwwccbrnw_m6,463775358,4277719,1039583,874828,636178,809323,313624,404091,370939,380603,2020-02-01
donn_wwwpfcrnw_om4,467169872,5397987,307032,7354,1,0,0,0,0,0,2020-02-01
cc1n_wwwwwwrnw_m1,316953314,65433797,31141007,17875234,10266607,6740642,8216738,8390266,7864634,7,2020-02-01
cc1n_wwwcfcrnw_m1,469861050,1705143,608560,253804,124595,111488,97766,119530,310,0,2020-02-01
cc1n_wwwcfcwwy_m3,472047976,605649,157004,40444,31132,41,0,0,0,0,2020-02-01
cc1n_wwwlncrfw_m3,467822584,3072369,910692,316309,221570,212724,325977,21,0,0,2020-02-01
donn_wwwmlcrfw_om3,472877590,4649,7,0,0,0,0,0,0,0,2020-02-01
cc1n_wwwpdlrfw_m6,472277447,258341,111865,60906,39300,43599,31417,28410,22229,8732,2020-02-01
cc1n_wwwofcrfw_m6,472850468,13507,6529,3504,2221,1430,2355,2231,1,0,2020-02-01
donn_wwwcfcrnw_om3,472359455,514204,8585,1,1,0,0,0,0,0,2020-02-01
sran_wwwwwwrnw_m1,316953314,102054509,6882493,6800984,6584489,6525383,6530594,6851022,7126132,6573326,2020-02-01
dotn_wwwwwwrnw_om6,455573058,15043296,1648960,616906,26,0,0,0,0,0,2020-02-01
cc1n_wwwpdlrnw_m3,432264331,22623743,7091873,3802900,3790677,1582490,1048133,677956,143,0,2020-02-01
cc1n_wwwpfcwwy_m3,472499858,271094,80204,17442,9928,3717,1,2,0,0,2020-02-01
donn_wwwlncrnw_om2,462009103,9710148,848181,314788,21,5,0,0,0,0,2020-02-01
donn_wwwpdlrnw_om4,467127771,5697834,49157,7484,0,0,0,0,0,0,2020-02-01
cc1n_wwwlbkwwy_m6,461217241,5786452,2117526,1071409,662278,801143,513572,712580,45,0,2020-02-01
donn_wwwwwwrnw_om2,426000048,37702656,5681398,1942639,1555502,2,0,1,0,0,2020-02-01
donn_wwwccbrfw_om4,472848439,33631,168,7,1,0,0,0,0,0,2020-02-01
donn_wwwlncrfw_om5,472524489,348635,8573,513,36,0,0,0,0,0,2020-02-01
cc1n_wwwcfcrfw_m3,472861513,9830,3618,604,710,522,548,504,1189,3208,2020-02-01
donn_wwwwwwrnw_om1,421497237,40328821,6639036,2336596,2080531,21,4,0,0,0,2020-02-01
donn_wwwlncrfw_om1,472378892,491347,11958,47,2,0,0,0,0,0,2020-02-01
cc1n_wwwlbkrfw_m3,460014855,3840942,2439048,2284530,928635,652460,636154,723787,661377,700458,2020-02-01
donn_wwwwwwrfw_om4,470043343,2563559,239674,35588,81,1,0,0,0,0,2020-02-01
donn_wwwlbkrnw_om4,467790403,5062583,29257,2,1,0,0,0,0,0,2020-02-01
vran_wwwwwwrnw_om1,448135254,17948497,966629,913233,921887,896392,854937,733881,686307,825229,2020-02-01
donn_wwwofcrnw_om4,472804655,77507,83,1,0,0,0,0,0,0,2020-02-01
mran_wwwwwwrnw_m3,249868520,151214959,9350350,8607206,9373368,9184901,9033728,8748636,9274823,8225755,2020-02-01
cc1n_wwwmlcwwy_m6,470826104,1379019,411679,120480,56425,26585,26993,34960,1,0,2020-02-01
donn_wwwmlcrnw_om2,472745477,134190,2533,45,1,0,0,0,0,0,2020-02-01
donn_wwwlbkrnw_om6,467804280,5055943,21945,73,2,3,0,0,0,0,2020-02-01
cc1n_wwwcfcwwy_m6,471290474,1161589,271303,77310,31960,49584,22,4,0,0,2020-02-01
mran_wwwwwwrnw_m6,205649153,173834982,11020740,11307423,11331629,12234241,11967716,11897460,12090637,11548265,2020-02-01
cc1n_wwwlbkrfw_m1,464033656,4481388,1853188,868383,238351,426449,291704,688886,241,0,2020-02-01
sran_wwwwwwrnw_m6,205649153,172853339,11567367,11471651,11525136,11707702,11939715,12570979,11885580,11711624,2020-02-01
donn_wwwpdlrnw_om3,469448043,3391628,37714,4861,0,0,0,0,0,0,2020-02-01
cc1n_wwwmlcrfw_m6,472803704,27164,14789,9038,6343,4538,3282,4124,4028,5236,2020-02-01
cc1n_wwwmlcwwy_m1,472610772,212851,41133,10148,7274,20,43,5,0,0,2020-02-01
donn_wwwlbkrnw_om2,466859217,5971677,51345,6,0,1,0,0,0,0,2020-02-01
cc1n_wwwwwwwwy_m1,447209855,12497129,4655111,2308902,1436818,1635234,884155,1171548,1083388,106,2020-02-01
donn_wwwpdlrfw_om6,472864769,17421,56,0,0,0,0,0,0,0,2020-02-01
cc1n_wwwcfcrfw_m6,472852655,16214,2987,1285,842,1297,1323,952,1106,3585,2020-02-01
cc1n_wwwpdlwwy_m3,459376705,6935130,2562046,1211746,737559,480126,335919,569158,435750,238107,2020-02-01
cc1n_wwwofcrnw_m3,471825137,543807,153272,89853,63890,46369,38972,17829,47636,55481,2020-02-01
cc1n_wwwpdlwwy_m6,446723942,12648903,4392822,2200616,1426488,1707939,986784,1080292,1126766,587694,2020-02-01
donn_wwwpfcrnw_om3,468929997,3691671,254932,5560,86,0,0,0,0,0,2020-02-01
cc1n_wwwlncwwy_m3,450028392,9909775,4359345,2335774,1510386,1037441,757259,994172,1134939,814763,2020-02-01
cc1n_wwwlbkrnw_m6,417827920,27449889,5649327,3770634,2828829,2257119,1846896,3039308,4002274,4210050,2020-02-01
donn_wwwlbkrfw_om1,471114049,1695995,72200,2,0,0,0,0,0,0,2020-02-01
cc1n_wwwmlcrfw_m3,472833482,19153,10735,5677,3505,2010,1465,1781,4396,42,2020-02-01
donn_wwwccbrnw_om6,472086403,788924,6911,4,3,1,0,0,0,0,2020-02-01
cc1n_wwwofcwwy_m6,470880616,1356190,373876,125396,58054,30290,57823,1,0,0,2020-02-01
lran_wwwwwwrnw_m6,205649153,189064449,10447928,9573759,9358288,9923089,9188533,9669853,9977151,10030043,2020-02-01
donn_wwwmlcrnw_om6,472809542,72305,399,0,0,0,0,0,0,0,2020-02-01
donn_wwwpfcrnw_om2,468115743,4451566,305264,9669,4,0,0,0,0,0,2020-02-01
donn_wwwccbrnw_om2,471910356,960114,11762,10,2,1,0,1,0,0,2020-02-01
donn_wwwccbrnw_om4,471869673,1000240,12313,16,3,1,0,0,0,0,2020-02-01
donn_wwwcfcrnw_om5,472375200,498486,8558,2,0,0,0,0,0,0,2020-02-01
dotn_wwwwwwrnw_om5,454990458,15120343,1998985,772415,45,0,0,0,0,0,2020-02-01
cc1n_wwwwwwrfw_m6,395993181,35932693,15092654,6622234,3710768,4422916,1272942,3762323,2862048,3210487,2020-02-01
donn_wwwlncrnw_om3,462423700,9378080,776140,304258,66,2,0,0,0,0,2020-02-01
dotn_wwwwwwrnw_om4,447687729,21732027,2541163,921319,8,0,0,0,0,0,2020-02-01
donn_wwwofcrnw_om2,472722085,159650,511,0,0,0,0,0,0,0,2020-02-01
donn_wwwpdlrnw_om5,472168117,666964,38959,8206,0,0,0,0,0,0,2020-02-01
cc1n_wwwpfcwwy_m6,471801084,777156,183818,47463,22765,49937,21,2,0,0,2020-02-01
cc1n_wwwwwwrnw_m3,249868520,135493321,15670234,11680800,9274586,6632959,10116040,11685721,11355874,11104191,2020-02-01
cc1n_wwwpdlrnw_m6,423008156,29933402,7442282,6111541,1550874,2472630,839407,931207,592746,1,2020-02-01
donn_wwwpdlrfw_om1,472836461,45554,226,5,0,0,0,0,0,0,2020-02-01
