var,0,1,2,3,4,5,6,7,8,9,dt
cc1o_wwwlbkwwwww_m3,156177113,4848038,775455,651275,567887,476499,267357,462700,439875,758369,2020-02-01
cc1o_wwwccbwwwww_m6,142348112,8953249,4021942,2788700,1488482,1380301,1222377,1714131,1507195,79,2020-02-01
cc1o_wwwwwwm1www_m3,155377605,5219154,1817062,883888,515905,639411,340248,631295,0,0,2020-02-01
dono_wwwwwwwwoa1_om4,157518043,7355933,424402,126146,44,0,0,0,0,0,2020-02-01
modo_wwwwwwwwwww_m6,141122327,12424966,860763,1001606,1312001,1397365,1397625,1292027,1410681,3205207,2020-02-01
dono_wwwwwwm3www_om6,164983416,404620,36191,257,84,0,0,0,0,0,2020-02-01
dono_wwwwwwm4www_om3,164562463,808464,47521,6028,92,0,0,0,0,0,2020-02-01
dono_wwwwwwwwoa3_om3,162914541,2377889,131601,536,1,0,0,0,0,0,2020-02-01
dono_wwwwwwwwwww_om2,151362111,12674858,953201,433620,621,156,1,0,0,0,2020-02-01
dono_wwwwwwwwoa2_om2,162400093,2817064,165688,41217,502,4,0,0,0,0,2020-02-01
cc1o_wwwwwwm4www_m3,159264310,3050942,451238,374674,385896,347552,322167,349779,360624,517386,2020-02-01
dono_wwwwwwwwoa1_om2,156671998,7968078,567751,216618,110,13,0,0,0,0,2020-02-01
dono_wwwwwwm4www_om5,164193643,1180363,50491,65,6,0,0,0,0,0,2020-02-01
dono_wwwwwwwwwww_om6,155211706,9383667,613261,215683,183,68,0,0,0,0,2020-02-01
dono_wwwwwwm4www_om2,164529305,828053,66957,253,0,0,0,0,0,0,2020-02-01
cc1o_wwwlbkwwwww_m6,151636329,8424606,807924,563826,776293,629214,613540,507494,627588,837754,2020-02-01
dono_wwwwwwm4www_om6,164629295,755566,39674,33,0,0,0,0,0,0,2020-02-01
cc1o_wwwpfcwwwww_m1,164278185,759788,213147,65920,38339,69094,14,81,0,0,2020-02-01
cc1o_wwwlbkwwwww_m1,159700598,2085529,1375320,477605,384125,246280,176706,342994,635408,3,2020-02-01
dono_wwwwwwwwwww_om1,68301503,94864974,1582731,674148,1154,56,2,0,0,0,2020-02-01
dono_wwwwwwm2www_om2,164657934,715921,42392,8312,9,0,0,0,0,0,2020-02-01
modo_wwwwwwwwwww_m3,148871033,9325517,834032,839204,884214,722555,475888,1186286,497188,1788651,2020-02-01
dono_wwwwwwm2www_om6,164815620,586689,22131,127,1,0,0,0,0,0,2020-02-01
dono_wwwwwwwwoa2_om6,163234308,2068894,120864,488,14,0,0,0,0,0,2020-02-01
cc1o_wwwofcwwwww_m1,164433568,758872,160196,71336,578,6,12,0,0,0,2020-02-01
dono_wwwwwwm1www_om4,163903991,1419976,79815,20782,4,0,0,0,0,0,2020-02-01
dono_wwwwwwwwoa4_om6,164829644,581008,13842,70,4,0,0,0,0,0,2020-02-01
dono_wwwwwwwwwww_om5,151369643,12935390,827417,291771,327,19,1,0,0,0,2020-02-01
cc1o_wwwlncwwwww_m1,157743883,3665030,1293924,735216,437562,290776,211062,485684,561353,78,2020-02-01
cc1o_wwwwwwwwoa2_m6,140485416,12788262,2323877,2179346,1545759,1009586,1402441,850746,1316723,1522412,2020-02-01
