2020-04-01_2020-05-01,0,1,2,3,4,5,6,7,8,9
0,0.9668,0.021,0.0059,0.002,0.0013,0.0009,0.0004,0.0008,0.0008,0.0
1,0.503,0.3625,0.0755,0.0251,0.0115,0.0063,0.0039,0.0065,0.0056,0.0
2,0.1751,0.1775,0.3549,0.1395,0.0627,0.0285,0.018,0.0271,0.0167,0.0
3,0.049,0.0659,0.1411,0.4412,0.1187,0.0659,0.037,0.0514,0.0298,0.0
4,0.0483,0.0366,0.0872,0.17,0.2702,0.1204,0.0897,0.1193,0.0583,0.0
5,0.0412,0.0259,0.0434,0.0818,0.1325,0.2434,0.1336,0.2073,0.0909,0.0
6,0.0165,0.0185,0.0279,0.0479,0.0747,0.1241,0.2825,0.2829,0.1252,0.0
7,0.0117,0.0098,0.0138,0.0242,0.0375,0.0547,0.0866,0.4508,0.3108,0.0
8,0.0034,0.0031,0.0029,0.0034,0.0052,0.0066,0.0089,0.0746,0.8919,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.7778
