2020-07-01_2020-08-01,0,1,2,3,4,5,6,7,8,9
0,0.9587,0.0241,0.0084,0.0028,0.0018,0.0009,0.0007,0.0007,0.0011,0.0007
1,0.2562,0.506,0.139,0.0434,0.0194,0.01,0.0058,0.0067,0.0081,0.0054
2,0.1339,0.1739,0.4132,0.1369,0.0601,0.0262,0.0161,0.0149,0.0157,0.0091
3,0.0444,0.0544,0.1101,0.5764,0.0926,0.0457,0.0252,0.0218,0.0198,0.0098
4,0.0751,0.0517,0.0964,0.1624,0.2674,0.1191,0.0734,0.0723,0.0591,0.0232
5,0.0456,0.0552,0.0625,0.1023,0.138,0.2194,0.1189,0.1213,0.0999,0.0369
6,0.0255,0.0343,0.0604,0.0621,0.0874,0.1071,0.2582,0.1692,0.1518,0.044
7,0.0214,0.0224,0.0402,0.061,0.0731,0.0829,0.1053,0.2492,0.2684,0.0761
8,0.0116,0.0101,0.0146,0.0219,0.0302,0.0419,0.053,0.1293,0.4655,0.2219
9,0.0029,0.0021,0.0025,0.0032,0.004,0.0049,0.0066,0.0168,0.1097,0.8473
