2020-04-01_2020-05-01,0,1,2,3,4,5,6,7,8,9
0,0.9628,0.0278,0.0016,0.0014,0.0012,0.001,0.0012,0.001,0.0009,0.001
1,0.3208,0.606,0.0193,0.0133,0.0093,0.0075,0.0072,0.0068,0.0058,0.0039
2,0.0842,0.1861,0.4507,0.0891,0.0775,0.0375,0.0279,0.025,0.0146,0.0073
3,0.0689,0.125,0.0728,0.4448,0.0917,0.0867,0.0462,0.035,0.0204,0.0086
4,0.05,0.0777,0.0552,0.0684,0.4749,0.0945,0.0937,0.0493,0.0266,0.0096
5,0.0386,0.0555,0.0198,0.0501,0.0703,0.5012,0.1235,0.0908,0.0382,0.0119
6,0.0344,0.0446,0.0099,0.0192,0.0442,0.0772,0.5139,0.1704,0.0681,0.0182
7,0.0259,0.0406,0.0068,0.01,0.0165,0.0333,0.089,0.5376,0.2049,0.0355
8,0.0219,0.0314,0.0038,0.0045,0.0069,0.0102,0.0238,0.0965,0.616,0.185
9,0.016,0.0178,0.0025,0.0027,0.0035,0.0046,0.0076,0.0155,0.0858,0.844
