var,0,1,2,3,4,9999,dt
score_z,246,246521,11555770,2205767946,20076097,0,2020-02-03
score_x,0,319160,2193531049,43796371,0,0,2020-02-03
score_x2,79166,5210288,2176953844,55403282,0,0,2020-02-03
score_z2,549,265217,11064080,2205620844,20695890,0,2020-02-03
score_z,158,234316,11276597,2220594135,19877239,0,2020-02-10
score_x,0,225373,2208239323,43517749,0,0,2020-02-10
score_x2,53582,3532470,2192225291,56171102,0,0,2020-02-10
score_z2,370,240191,10682012,2220681775,20378097,0,2020-02-10
score_z,230,263035,11955658,2218493343,19601855,0,2020-02-17
score_x,0,245108,2207376316,42692697,0,0,2020-02-17
score_x2,60894,3977361,2190893213,55382653,0,0,2020-02-17
score_z2,413,251331,11180364,2218791589,20090424,0,2020-02-17
score_z,218,266388,12342729,2217032355,19482547,0,2020-02-24
score_x,0,262981,2206539689,42321567,0,0,2020-02-24
score_x2,65242,4765671,2189549468,54743856,0,0,2020-02-24
score_z2,452,259395,11795938,2217049644,20018808,0,2020-02-24
score_z,387,391216,13037308,2220830408,18879020,0,2020-03-02
score_x,0,450721,2209166505,43521113,0,0,2020-03-02
score_x2,106951,7157698,2186506800,59366890,0,0,2020-03-02
score_z2,772,350727,11975773,2218825195,21985872,0,2020-03-02
score_z,348,376458,12656853,2232589492,18680169,0,2020-03-09
score_x,0,348313,2221276570,42678437,0,0,2020-03-09
score_x2,80719,5059285,2200659546,58503770,0,0,2020-03-09
score_z2,612,316508,11675693,2230693343,21617164,0,2020-03-09
score_z,351,353810,13835894,2231624311,18525734,0,2020-03-16
score_x,0,349436,2221863910,42126754,0,0,2020-03-16
score_x2,75303,5515449,2200536669,58212679,0,0,2020-03-16
score_z2,540,294571,12440554,2230182190,21422245,0,2020-03-16
score_z,359,341411,14076588,2232843547,18515918,0,2020-03-23
score_x,0,336516,2223268395,42172912,0,0,2020-03-23
score_x2,68436,5850744,2201817421,58041222,0,0,2020-03-23
score_z2,555,284751,12875332,2231160345,21456840,0,2020-03-23
score_z,249,284542,12985139,2236912228,18524234,0,2020-03-30
score_x,0,330998,2226268003,42107391,0,0,2020-03-30
score_x2,67254,5680884,2205236354,57721900,0,0,2020-03-30
score_z2,374,257942,12310017,2234716108,21421951,0,2020-03-30
score_z,494,477101,14098253,2229209365,17859911,0,2020-04-06
score_x,0,399172,2215136608,46109344,0,0,2020-04-06
score_x2,94412,7063379,2192102220,62385113,0,0,2020-04-06
score_z2,790,430097,14321757,2224590306,22302174,0,2020-04-06
score_z,357,434227,13796357,2233414771,17680627,0,2020-04-13
score_x,0,317815,2219486163,45522361,0,0,2020-04-13
score_x2,71811,5048971,2198321083,61884474,0,0,2020-04-13
score_z2,598,381496,12854561,2230021993,22067691,0,2020-04-13
score_z,333,404558,14277023,2237370735,17580094,0,2020-04-20
score_x,0,294076,2224068239,45270428,0,0,2020-04-20
score_x2,64952,5434551,2202161707,61971533,0,0,2020-04-20
score_z2,559,358684,13336058,2233995438,21942004,0,2020-04-20
score_z,291,377916,13968841,2240704383,17591330,0,2020-04-27
score_x,0,295293,2227154334,45193134,0,0,2020-04-27
score_x2,63192,5324304,2205769440,61485825,0,0,2020-04-27
score_z2,448,336263,13356814,2236885916,22063320,0,2020-04-27
score_z,177,380426,13690549,2243323069,18023363,0,2020-05-04
score_x,0,336348,2228096918,46984318,0,0,2020-05-04
score_x2,81333,5903450,2204635862,64796939,0,0,2020-05-04
score_z2,546,387891,13276186,2239013225,22739736,0,2020-05-04
score_z,111,299639,13182426,2249430317,17933124,0,2020-05-11
score_x,0,246353,2233980029,46619235,0,0,2020-05-11
score_x2,54550,4244380,2212145295,64401392,0,0,2020-05-11
score_z2,336,302750,12706742,2245386148,22449641,0,2020-05-11
score_z,106,270827,13491806,2253431567,17823006,0,2020-05-18
score_x,0,222169,2238527633,46267510,0,0,2020-05-18
score_x2,45547,4280595,2216450623,64240547,0,0,2020-05-18
score_z2,285,267323,12859749,2249582840,22307115,0,2020-05-18
score_z,102,274214,13706383,2254829728,17749918,0,2020-05-25
score_x,0,236480,2240265499,46058366,0,0,2020-05-25
score_x2,45857,4569539,2217968797,63976152,0,0,2020-05-25
score_z2,304,276016,13223708,2250688868,22371449,0,2020-05-25
score_z,140,304706,13796986,2248191713,18285981,0,2020-06-01
score_x,0,280255,2235576208,44723063,0,0,2020-06-01
score_x2,68063,6203402,2209377674,64930387,0,0,2020-06-01
score_z2,496,329705,13247901,2244357969,22643455,0,2020-06-01
score_z,104,250468,13537660,2259697792,18125128,0,2020-06-08
score_x,0,230898,2247408748,43971506,0,0,2020-06-08
score_x2,55429,4761910,2222469456,64324357,0,0,2020-06-08
score_z2,341,266016,12962982,2256006683,22375130,0,2020-06-08
score_z,86,228718,13698393,2262294577,17953288,0,2020-06-15
score_x,0,213813,2250553198,43408051,0,0,2020-06-15
score_x2,51113,4435243,2225780027,63908679,0,0,2020-06-15
score_z2,260,232353,12989409,2258749700,22203340,0,2020-06-15
score_z,58,222198,14040663,2264425532,17864939,0,2020-06-22
score_x,0,221376,2253203835,43128179,0,0,2020-06-22
score_x2,49745,5099744,2227932333,63471568,0,0,2020-06-22
score_z2,242,227178,13386167,2260732891,22206912,0,2020-06-22
score_z,49,216252,14021788,2264992324,17861845,0,2020-06-29
score_x,0,222235,2253749564,43120459,0,0,2020-06-29
score_x2,47884,5388312,2228702768,62953294,0,0,2020-06-29
score_z2,224,218544,13417908,2261274728,22180854,0,2020-06-29
score_z,133,287748,15558196,2243022542,15977573,0,2020-07-06
score_x,0,238927,2229326491,45280774,0,0,2020-07-06
score_x2,60017,6448621,2205733198,62604356,0,0,2020-07-06
score_z2,467,279286,15021457,2237159400,22385582,0,2020-07-06
score_z,114,270675,15584914,2253236722,15820788,0,2020-07-13
score_x,0,217246,2239966201,44729766,0,0,2020-07-13
score_x2,52862,5712916,2217023680,62123755,0,0,2020-07-13
score_z2,389,262900,14892666,2247685635,22071623,0,2020-07-13
score_z,105,235458,15742487,2258459444,15719759,0,2020-07-20
score_x,0,206654,2245434550,44516049,0,0,2020-07-20
score_x2,46631,5734188,2222298721,62077713,0,0,2020-07-20
score_z2,393,246138,14872122,2253114567,21924033,0,2020-07-20
score_z,94,218809,15267585,2261620694,15685469,0,2020-07-27
score_x,0,194957,2248098502,44499192,0,0,2020-07-27
score_x2,41615,5290042,2225713962,61747032,0,0,2020-07-27
score_z2,298,228536,14630019,2256008422,21925376,0,2020-07-27
score_z,162,332438,15920621,2219145640,15969930,0,2020-08-03
score_x,0,222971,2205015680,46130140,0,0,2020-08-03
score_x2,57365,6353747,2183307615,61650064,0,0,2020-08-03
score_z2,710,372880,15566417,2213423995,22004789,0,2020-08-03
score_z,108,300878,15583340,2230109279,15854345,0,2020-08-10
score_x,0,192960,2216129106,45525884,0,0,2020-08-10
score_x2,47871,5595342,2194786554,61418183,0,0,2020-08-10
score_z2,534,322222,15137853,2224602658,21784683,0,2020-08-10
score_z,74,249381,15482534,2239031979,15753813,0,2020-08-17
score_x,0,168848,2225074270,45274663,0,0,2020-08-17
score_x2,39342,4655997,2204692748,61129694,0,0,2020-08-17
score_z2,464,272879,14876354,2233683409,21684675,0,2020-08-17
score_z,53,187623,15353109,2239751981,15813117,0,2020-08-24
score_x,0,154241,2225325859,45625783,0,0,2020-08-24
score_x2,32141,4513881,2205373102,61186759,0,0,2020-08-24
score_z2,322,228221,14811106,2234334099,21732135,0,2020-08-24
score_z,54,209845,15308743,2243544298,15833277,0,2020-08-31
score_x,0,149709,2229199770,45546738,0,0,2020-08-31
score_x2,29710,4582878,2209043387,61240242,0,0,2020-08-31
score_z2,371,234934,14739661,2238214720,21706531,0,2020-08-31
score_z,0,0,108706,460537068,0,0,2019-03-04
score_x,0,0,460645774,0,0,0,2019-03-04
score_x2,0,51744,460594030,0,0,0,2019-03-04
score_z2,0,0,20264,460625510,0,0,2019-03-04
score_z,0,0,435095,728434761,0,0,2019-03-11
score_x,0,0,728869856,0,0,0,2019-03-11
score_x2,0,273506,728596350,0,0,0,2019-03-11
score_z2,0,0,147090,728722766,0,0,2019-03-11
score_z,0,0,1354691,1117909701,0,0,2019-03-18
score_x,0,0,1119264392,0,0,0,2019-03-18
score_x2,0,741022,1118523370,0,0,0,2019-03-18
score_z2,0,0,561524,1118702868,0,0,2019-03-18
score_z,0,0,1148424,879874160,0,0,2019-03-25
score_x,0,0,881022584,0,0,0,2019-03-25
score_x2,0,883186,880139398,0,0,0,2019-03-25
score_z2,0,0,439479,880583105,0,0,2019-03-25
score_z,571,61748,4657089,1516408928,228482,0,2019-04-01
score_x,0,65481,1516335273,4956064,0,0,2019-04-01
score_x2,59415,2378879,1515235554,3682970,0,0,2019-04-01
score_z2,1139,95467,4866361,1515745363,648488,0,2019-04-01
score_z,305,48881,4419656,1571177746,224233,0,2019-04-08
score_x,0,40557,1571047571,4782693,0,0,2019-04-08
score_x2,34698,1561720,1570565485,3708918,0,0,2019-04-08
score_z2,731,72289,4642648,1570528040,627113,0,2019-04-08
score_z,627,85867,4890546,1626633736,206274,0,2019-04-15
score_x,0,46253,1627350006,4420791,0,0,2019-04-15
score_x2,37993,1936712,1626252542,3589803,0,0,2019-04-15
score_z2,931,104492,5068981,1626038081,604565,0,2019-04-15
score_z,526,79246,4900072,1593660730,197076,0,2019-04-22
score_x,0,49592,1594441462,4346596,0,0,2019-04-22
score_x2,41842,2099980,1593299003,3396825,0,0,2019-04-22
score_z2,861,100508,5230986,1592905005,600290,0,2019-04-22
score_z,593,87058,5120340,1622450682,188617,0,2019-04-29
score_x,0,50878,1623661210,4135202,0,0,2019-04-29
score_x2,42181,2178044,1622467457,3159608,0,0,2019-04-29
score_z2,891,104579,5177805,1621982874,581141,0,2019-04-29
score_z,1404,182177,7735214,1827396474,868706,0,2019-05-06
score_x,0,118618,1827119184,8946173,0,0,2019-05-06
score_x2,181727,4445154,1824690779,6866315,0,0,2019-05-06
score_z2,2923,240046,6925674,1827427266,1588066,0,2019-05-06
score_z,1095,164147,7564372,1831290310,841603,0,2019-05-13
score_x,0,83857,1831030171,8747499,0,0,2019-05-13
score_x2,129341,3525262,1829351357,6855567,0,0,2019-05-13
score_z2,2182,210917,6783026,1831341764,1523638,0,2019-05-13
score_z,945,155450,7921907,1835870376,829568,0,2019-05-20
score_x,0,78095,1835977154,8722997,0,0,2019-05-20
score_x2,115919,3643926,1833987678,7030723,0,0,2019-05-20
score_z2,1912,199267,7264117,1835802626,1510324,0,2019-05-20
score_z,744,139010,7646424,1835194239,828899,0,2019-05-27
score_x,0,73173,1835082335,8653808,0,0,2019-05-27
score_x2,106519,3591835,1833452905,6658057,0,0,2019-05-27
score_z2,1609,186329,7171257,1834919069,1531052,0,2019-05-27
score_z,1180,185793,9996902,1941730488,1988173,0,2019-06-03
score_x,0,129511,1940033272,13739753,0,0,2019-06-03
score_x2,208475,5663080,1938868918,9162063,0,0,2019-06-03
score_z2,3546,282628,9073218,1942169425,2373719,0,2019-06-03
score_z,732,161539,9819792,1956837697,1948388,0,2019-06-10
score_x,0,85633,1955806795,12875720,0,0,2019-06-10
score_x2,162144,4298021,1955317630,8990353,0,0,2019-06-10
score_z2,2460,244414,8909189,1957344337,2267748,0,2019-06-10
score_z,550,147626,10033300,1958103782,1914405,0,2019-06-17
score_x,0,78464,1957402372,12718827,0,0,2019-06-17
score_x2,148753,4326210,1956756627,8968073,0,0,2019-06-17
score_z2,1934,223976,9172508,1958559274,2241971,0,2019-06-17
score_z,528,147325,10128564,1963010168,1899450,0,2019-06-24
score_x,0,80777,1962219630,12885628,0,0,2019-06-24
score_x2,148012,4514008,1961564076,8959939,0,0,2019-06-24
score_z2,1830,221923,9414338,1963266872,2281072,0,2019-06-24
score_z,1014,186581,10192294,2023221782,6269426,0,2019-07-01
score_x,0,124622,2005739935,34006540,0,0,2019-07-01
score_x2,242767,6288839,2015925810,17413681,0,0,2019-07-01
score_z2,3130,266654,9398789,2025384705,4817819,0,2019-07-01
score_z,740,166073,9844807,2046540854,6135516,0,2019-07-08
score_x,0,80140,2029801710,32806140,0,0,2019-07-08
score_x2,188815,4867747,2040859276,16772152,0,0,2019-07-08
score_z2,2183,235367,9216973,2048529270,4704197,0,2019-07-08
score_z,532,149691,10074713,2048123561,6077072,0,2019-07-15
score_x,0,79851,2031800540,32545178,0,0,2019-07-15
score_x2,180467,4946185,2042782333,16516584,0,0,2019-07-15
score_z2,1623,213732,9518102,2050041410,4650702,0,2019-07-15
score_z,454,136937,10001309,2051099009,6053331,0,2019-07-22
score_x,0,72714,2034618268,32600058,0,0,2019-07-22
score_x2,160907,4748066,2045924357,16457710,0,0,2019-07-22
score_z2,1415,203852,9690839,2052723412,4671522,0,2019-07-22
score_z,389,138471,9954044,2050905612,6022321,0,2019-07-29
score_x,0,69350,2034504148,32447339,0,0,2019-07-29
score_x2,156633,4600644,2045796012,16467548,0,0,2019-07-29
score_z2,1341,203870,9484560,2052674761,4656305,0,2019-07-29
score_z,869,217606,11914655,2109791111,11278090,0,2019-08-05
score_x,0,225820,2093305045,39671466,0,0,2019-08-05
score_x2,190421,5141168,2100886004,26984738,0,0,2019-08-05
score_z2,2473,298991,10424768,2113700244,8775855,0,2019-08-05
score_z,431,156588,11605218,2115695086,11262800,0,2019-08-12
score_x,0,151015,2099197071,39372037,0,0,2019-08-12
score_x2,127373,4082177,2107519405,26991168,0,0,2019-08-12
score_z2,1263,225601,10065832,2119796385,8631042,0,2019-08-12
score_z,406,144958,11933691,2118847630,11136821,0,2019-08-19
score_x,0,160981,2103154880,38747645,0,0,2019-08-19
score_x2,130671,4307739,2110624824,27000272,0,0,2019-08-19
