var,0,1,2,3,4,5,6,7,8,9,dt
dotp_wwwwww_om1,127593914,39244530,3596676,814342,8,0,0,0,0,0,2020-02-01
cc1p_wwwcfc_m1,170653438,415458,67541,30597,34471,17820,30046,98,1,0,2020-02-01
dogp_wwwofc_om5,171236685,12782,3,0,0,0,0,0,0,0,2020-02-01
mrap_wwwwww_m1,67517236,52395428,8694663,8766984,8508969,9357588,3909911,4319749,4239880,3539062,2020-02-01
dogp_wwwpdl_om2,170897112,347218,5135,5,0,0,0,0,0,0,2020-02-01
dogp_wwwwww_om2,147052909,20806966,2406756,982687,149,3,0,0,0,0,2020-02-01
dogp_wwwpfc_om3,170009019,1235972,4467,12,0,0,0,0,0,0,2020-02-01
dogp_wwwlbk_om1,153246990,16458580,1292871,250904,123,2,0,0,0,0,2020-02-01
cc1p_wwwlbk_m1,123123166,30374264,9667877,3742203,1813511,937232,1591108,103,6,0,2020-02-01
cc1p_wwwwww_m3,32645646,53234514,24453444,18290397,10003832,6737925,8717772,5135325,5460082,6570533,2020-02-01
dogp_wwwccb_om2,168800267,2368996,80163,44,0,0,0,0,0,0,2020-02-01
dogp_wwwmlc_om1,171212364,36583,519,4,0,0,0,0,0,0,2020-02-01
dogp_wwwcfc_om2,171124539,124524,406,1,0,0,0,0,0,0,2020-02-01
cc1p_wwwpfc_m1,165745566,3606704,839351,356470,204265,210337,286762,10,5,0,2020-02-01
dogp_wwwcfc_om3,171161539,87628,301,2,0,0,0,0,0,0,2020-02-01
cc1p_wwwofc_m1,171204567,35345,8695,805,45,10,3,0,0,0,2020-02-01
dotp_wwwwww_om3,155630803,14156180,1193389,269098,0,0,0,0,0,0,2020-02-01
dogp_wwwmlc_om2,171215272,33753,443,2,0,0,0,0,0,0,2020-02-01
dogp_wwwlnc_om1,166288493,4526390,342830,91751,6,0,0,0,0,0,2020-02-01
dotp_wwwwww_om5,143489305,25243400,2059988,456423,346,8,0,0,0,0,2020-02-01
dogp_wwwlbk_om2,159886581,10352989,856572,153290,38,0,0,0,0,0,2020-02-01
dogp_wwwlnc_om5,169823966,1226527,145880,53096,1,0,0,0,0,0,2020-02-01
dotp_wwwwww_om2,142423361,26040040,2305229,480818,20,2,0,0,0,0,2020-02-01
dogp_wwwmlc_om6,171226997,22455,18,0,0,0,0,0,0,0,2020-02-01
dogp_wwwccb_om4,169215521,1958531,75385,32,1,0,0,0,0,0,2020-02-01
dogp_wwwpdl_om3,170932722,311737,5011,0,0,0,0,0,0,0,2020-02-01
srap_wwwwww_m3,32645646,56527009,13294767,13517307,14767061,14098228,6778785,6652342,6590601,6377724,2020-02-01
mrap_wwwwww_m3,32645646,56442245,13613381,13537193,13898853,14709877,6219992,7056944,6249739,6875600,2020-02-01
cc1p_wwwmlc_m3,171007109,106760,64653,24622,9937,5681,4672,9813,6155,10068,2020-02-01
cc1p_wwwccb_m1,135923375,29066415,3829670,1123466,811668,494809,41,23,2,1,2020-02-01
dotp_wwwwww_om4,154521414,14897177,1438681,392194,4,0,0,0,0,0,2020-02-01
cc1p_wwwmlc_m6,170935062,199182,34603,20435,11973,6730,10080,10907,9869,10629,2020-02-01
srap_wwwwww_m6,0,90923035,16185982,16018722,7696969,7652008,7672807,7925887,8401351,8772709,2020-02-01
dogp_wwwlnc_om2,168348936,2632983,213117,54429,4,1,0,0,0,0,2020-02-01
dogp_wwwwww_om5,152944700,15641816,1866735,796066,152,1,0,0,0,0,2020-02-01
cc1p_wwwlnc_m1,158618899,6913255,3637116,1054933,440120,213694,371416,35,2,0,2020-02-01
dogp_wwwccb_om5,169049493,2124954,74720,266,36,1,0,0,0,0,2020-02-01
cc1p_wwwpfc_m6,158760963,5069594,2105917,1299105,985832,769523,534523,677477,517900,528636,2020-02-01
mrap_wwwwww_m6,0,90989536,15771287,16017752,8525565,7838710,7788101,8095688,7984547,8238284,2020-02-01
dogp_wwwwww_om1,138081050,28120715,3536610,1510480,597,18,0,0,0,0,2020-02-01
cc1p_wwwlnc_m6,151800506,11788531,1888794,1240553,857633,624518,953980,685144,803152,606659,2020-02-01
lrap_wwwwww_m1,67517236,63927708,7596589,7805401,3913819,4055165,4099284,4762452,3908925,3662891,2020-02-01
