dt,type,unique_num,cnt
2020-08-25,xd,96352142,139118131
2020-08-27,xd,104056258,145001590
2020-08-27,xj,3430331,4678345
2020-08-28,xd,96565132,135144092
2020-08-26,xd,81877101,116855407
2020-08-30,xd,40407911,60821511
2020-08-30,xj,2681346,3616836
2020-09-01,xd,77990710,111644189
2020-08-25,yh,7395686,8571593
2020-08-25,xj,3658558,4927926
2020-08-29,xj,2962191,4046510
2020-08-28,xj,3368632,4650607
2020-09-01,yh,3723290,4842117
2020-08-29,xd,52130363,75843032
2020-08-31,xd,62984179,92035852
2020-08-26,yh,17667669,18904752
2020-08-26,xj,3708134,5063431
2020-08-29,yh,2021439,2695681
2020-09-01,xj,3128442,4232085
2020-08-31,xj,2874897,3933212
2020-08-31,yh,3992244,4902108
2020-08-30,yh,1870897,2469213
2020-08-28,yh,8182672,9247949
2020-08-27,yh,8298436,9438417
