mon_dt,type,unique_num,cnt
2020-04,xd,672304739,3985175940
2020-05,xj,25147437,105776245
2020-02,yh,53712080,136233328
2020-08,yh,90163612,190205528
2020-03,xd,737253545,4254068486
2019-12,xd,619916406,4373691716
2019-05,xd,434767250,2192723023
2019-08,yh,43755451,78889985
2019-11,xj,22822672,85409730
2019-07,yh,43844891,109671242
2020-04,xj,24036582,111664300
2020-06,xd,594588202,3428325686
2019-09,xd,515727497,2941873302
2019-08,xj,19348514,67144483
2020-08,xd,626956152,3230186525
2020-04,yh,51277275,141896889
2020-07,yh,79058727,189262457
2019-04,yh,32146587,58863211
2020-02,xd,538572623,3105869784
2019-11,xd,473418258,2654048970
2019-04,xd,475882066,2260658697
2019-06,xj,18166208,70306938
2020-07,xj,32032387,144251098
2020-01,yh,54920350,132986267
2019-08,xd,526463233,2733011092
2019-03,yh,24060900,43012658
2019-09,yh,56825990,126105163
2019-07,xd,463992801,3246735402
2019-10,xj,25645684,115160387
2020-09,xd,77990710,111644189
2019-06,xd,387365019,1937092852
2019-12,xj,25810529,121339468
2019-11,yh,48730586,97510008
2019-07,xj,20768937,91060375
2020-03,yh,57028660,153111639
2020-05,yh,51117453,127519418
2020-07,xd,656996214,3590232813
2019-05,yh,33691521,67915549
2019-03,xd,377571211,1456480337
2020-01,xj,24634515,118166477
2019-06,yh,47169092,100131494
2020-09,xj,3128442,4232085
2020-08,xj,33792576,132290792
2020-03,xj,26100782,118361633
2019-03,xj,21724280,54176774
2019-04,xj,35066517,86889045
2019-10,xd,464163817,3043035925
2020-06,yh,91880040,216185456
2019-05,xj,24151010,86141753
2020-05,xd,609446367,3077125893
2020-02,xj,24253687,99607822
2019-09,xj,20686110,91577480
2020-09,yh,3723290,4842117
2019-10,yh,52234855,116125665
2019-12,yh,63240447,149936560
2020-06,xj,28546800,117058716
2020-01,xd,640686245,3825374492
