link,org_type,dt,overdue_amount,loan_amount,should_repay_amount,amount,balance,review_y,review_n,cnt,unique_num
02,17,20190901,,,,,0.0,0,0,5902321,4718878
02,24,20201001,,,,,0.0,0,0,5112,4044
02,25,20190901,,,,,0.0,0,0,208,195
03,25,20190901,,,,,0.0,259,0,259,199
06,22,20200401,10903862250.970003,,,,5322758784.999999,0,0,2893326,1303112
07,09,20200701,,694738300.8699999,13130156963.125982,27885035.140000008,202396.99,0,0,11718443,4433079
,05,20200301,,,,,0.0,0,0,448955,397062
,08,20190701,,,,,0.0,0,0,450694,306506
,24,20190601,,,,,0.0,0,0,9080434,3368530
,25,20200501,,,,,0.0,0,0,22043,11878
05,,20200301,,,,,537326205692.54224,0,0,29952371,17055334
04,20,20191101,,1324000.0,,,1324105.0,0,0,4,4
05,15,20200801,,,,,0.0,0,0,131,128
06,17,20190801,66918067369.81176,,,,209420.86,0,0,13808252,4178972
01,09,20200401,,,,,0.0,0,0,488680,417203
01,18,20200301,,,,,0.0,0,0,106387,96228
03,01,20191201,,,,,0.0,296664,6151,302815,283323
05,02,20200401,,,,,20261.86999999999,0,0,16554791,10733673
06,05,20190501,1480907420.6499987,,,,285531.0,0,0,1304156,240769
06,06,20190601,279431524.0931999,,,,316886359964.0399,0,0,76638,57678
06,15,20200701,120258942.59999995,,,,0.0,0,0,22724,8563
,16,20200901,,,,,0.0,0,0,5639196,2794707
,99,20200901,,,,,0.0,0,0,44756428,30588723
03,,20200301,,,,,0.0,10322799,4144503,14467302,9311769
07,08,20191101,,,5206486620.650013,,55380.51,0,0,3425513,1719251
01,21,20190601,,,,,0.0,0,0,34,32
07,3,20190501,,,0.0,,0.0,0,0,99,27
04,28,20191201,,0.0,,,0.0,0,0,27,10
,20,20190501,,,,,0.0,0,0,15,3
03,15,20190701,,,,,0.0,2,0,2,1
07,2,20200401,,,33024306379.929993,75819516777.78012,204325453.24000004,0,0,18370818,11745865
01,09,20190801,,,,,0.0,0,0,5125837,2464834
01,17,20200201,,,,,0.0,0,0,3063986,2604145
01,26,20200901,,,,,0.0,0,0,120,102
02,04,20200201,,,,,0.0,0,0,916240,352734
02,06,20200301,,,,,0.0,0,0,11365,3254
03,21,20200801,,,,0.0,0.0,7524623,229076,7753699,3516307
04,17,20190401,,3809481261.5300016,,,1953588.41,0,0,2875072,1799428
06,09,20201001,85460384.73999996,,,,0.0,0,0,52128,40733
06,22,20200201,7135182535.209996,,,,1634376118.1399996,0,0,1477484,863727
07,02,20200301,,1429712.4,119009965103.08917,0.0,97567865.55,0,0,132799159,27696100
07,04,20200901,,2926700.0,40078800219.19995,0.0,1165990.8,0,0,8493788,2855274
,,20200801,,,,,0.0,0,0,692796227,305846080
,04,20200601,,,,,0.0,0,0,7683299,4539388
,08,20191001,,,,,0.0,0,0,2488161,1943030
,19,20200701,,,,,0.0,0,0,438804480,169981677
,2,20200201,,,,,0.0,0,0,51532911,28626963
,26,20190401,,,,,0.0,0,0,24899,11844
04,,20200601,,184220747286.8431,,,434586080139.14777,0,0,6636274,4602734
01,2,20200601,,,,,0.0,0,0,106,102
01,26,20191001,,,,,0.0,0,0,293,194
,13,20190701,,,,,0.0,0,0,107,89
04,20,20200601,,37730000.0,,,34702261.74,0,0,35,23
07,10,20200701,,,,,0.0,0,0,2,1
05,09,20190901,,,,,9249854.1,0,0,3227892,1869458
01,16,20200201,,,,,0.0,0,0,1500,1387
02,15,20200401,,,,,0.0,0,0,18036,18036
02,17,20190501,,,,,0.0,0,0,6375002,3773935
03,09,20200201,,,,0.0,0.0,5567293,1466667,7033960,4448797
03,17,20191201,,,,,0.0,50296262,5346526,55642788,36627537
03,22,20201001,,,,,0.0,16774,184092,200866,170646
04,18,20190501,,216459797.0,,,0.0,0,0,70437,59186
04,21,20200101,,4950905522.132049,,,5604961917.179999,0,0,243757,188874
04,25,20190801,,19205815.630000014,,,378161.97,0,0,1916,1332
05,05,20190701,,,,,32642.25000000001,0,0,90841,60241
06,21,20190701,39967684172.379974,,,,1162217907.73,0,0,6114713,1646573
,09,20200501,,,,,0.0,0,0,31143093,23250395
,16,20190401,,,,,0.0,0,0,7902386,4853417
,22,20200501,,,,,0.0,0,0,6842018,4957486
03,,20190501,,,,,0.0,60886696,2712316,63599012,43400594
03,28,20200601,,,,,0.0,0,1,1,1
04,20,20201001,,650000.0,,,1025100.0,0,0,7,2
01,02,20200801,,,,,0.0,0,0,32070,24137
01,15,20190701,,,,,0.0,0,0,2312,2280
01,18,20190701,,,,,0.0,0,0,598500,514643
02,02,20201001,,,,,0.0,0,0,154048,128459
02,21,20200101,,,,,0.0,0,0,1716713,1250118
03,05,20200701,,,,,0.0,130719,666370,797089,285912
