dt,type,unique_num,cnt
2020-08-25,xd,3716060,4896362
2020-08-27,xd,3730469,4921404
2020-08-27,xj,359529,398472
2020-08-28,xd,3499077,4670050
2020-08-26,xd,3537168,4579871
2020-08-30,xd,2653053,3491377
2020-08-30,xj,221023,250467
2020-09-01,xd,2415171,3059116
2020-08-25,yh,214802,271927
2020-08-25,xj,411190,456527
2020-08-29,xj,344139,374743
2020-08-28,xj,358844,393528
2020-09-01,yh,132532,178074
2020-08-29,xd,3680169,4717558
2020-08-31,xd,2837370,3718840
2020-08-26,xj,350017,393835
2020-08-26,yh,237859,286776
2020-08-29,yh,156888,183714
2020-09-01,xj,248565,279913
2020-08-31,xj,235844,264970
2020-08-31,yh,137990,175976
2020-08-30,yh,126728,150705
2020-08-28,yh,183735,220956
2020-08-27,yh,198372,249925
