2020-07-01_2020-08-01,0,1,2,3,4,5,6,7,8,9
0,0.9587,0.0296,0.0021,0.0015,0.0013,0.0012,0.0014,0.0015,0.0014,0.0013
1,0.1378,0.7812,0.017,0.0108,0.0078,0.0081,0.0095,0.0102,0.0103,0.0072
2,0.0776,0.1287,0.6493,0.043,0.0273,0.0181,0.017,0.0175,0.0134,0.0081
3,0.0631,0.0957,0.0324,0.6761,0.0397,0.0281,0.0215,0.0182,0.0171,0.0082
4,0.0546,0.0808,0.0183,0.0242,0.7025,0.0433,0.029,0.0199,0.0186,0.0088
5,0.0517,0.0707,0.0132,0.0136,0.0223,0.7164,0.0492,0.0298,0.0215,0.0117
6,0.0477,0.0689,0.0098,0.0112,0.0136,0.0239,0.7262,0.0559,0.0292,0.0136
7,0.0428,0.064,0.0087,0.0084,0.0103,0.015,0.0315,0.7368,0.0625,0.0199
8,0.036,0.0566,0.0068,0.0065,0.0072,0.0102,0.0184,0.038,0.7743,0.0459
9,0.0332,0.0527,0.0074,0.006,0.0071,0.01,0.0136,0.021,0.0462,0.8027
