var,date_start,date_end,psi,taub
m6_p_dom,2019-03-01,2019-04-01,0.05377042193414022,1.0
m6_p_docm,2019-03-01,2019-04-01,0.021023489321303365,1.0
m6_p_docc,2019-03-01,2019-04-01,0.029820055690458494,0.9555555555555554
m6_p_doc,2019-03-01,2019-04-01,0.09272451672906891,0.9999999999999999
m6_p_dnom,2019-03-01,2019-04-01,0.01913320457711499,1.0
m6_p_dnoc,2019-03-01,2019-04-01,0.024004195914671417,0.9999999999999999
m6_p_dlrm,2019-03-01,2019-04-01,0.0035867211741270853,0.9545454545454546
m6_p_dlrc,2019-03-01,2019-04-01,0.011118332509803154,0.9555555555555554
m6_p_dim,2019-03-01,2019-04-01,0.010974465105212005,0.9545454545454546
m6_p_dic,2019-03-01,2019-04-01,0.019828152267736692,0.9555555555555554
m6_p_dcrm,2019-03-01,2019-04-01,0.028417364792428124,0.9545454545454546
m6_p_dcrc,2019-03-01,2019-04-01,0.04019461161151331,0.9555555555555554
m6_p_dcm,2019-03-01,2019-04-01,0.021962568219440287,1.0
m6_p_dcc,2019-03-01,2019-04-01,0.032623978272939294,0.9555555555555554
m6_p_com,2019-03-01,2019-04-01,0.032341220019713034,0.6363636363636364
m6_p_cocm,2019-03-01,2019-04-01,0.014752229362693787,0.7272727272727273
m6_p_cocc,2019-03-01,2019-04-01,0.02244333732339901,0.9999999999999999
m6_p_coc,2019-03-01,2019-04-01,0.32035725470298543,0.9555555555555554
m6_p_cnom,2019-03-01,2019-04-01,0.003937087493557838,1.0
m6_p_cnoc,2019-03-01,2019-04-01,0.0043769281783423986,0.9999999999999999
m6_p_clm,2019-03-01,2019-04-01,0.008732135927015208,0.8461538461538461
m6_p_clc,2019-03-01,2019-04-01,0.014672235963277474,0.9999999999999999
m6_p_cissc,2019-03-01,2019-04-01,0.0019274776496727845,1.0
m6_p_cisf,2019-03-01,2019-04-01,0.0012363834124829232,1.0
m6_p_cisbs,2019-03-01,2019-04-01,0.005152296568298118,1.0
m6_p_ccrm,2019-03-01,2019-04-01,0.0027803476846343066,1.0
m6_p_ccrc,2019-03-01,2019-04-01,0.002629037223082711,0.9555555555555554
m6_p_ccm,2019-03-01,2019-04-01,0.014806135326342128,0.7272727272727273
m6_p_ccc,2019-03-01,2019-04-01,0.022642591529952474,0.9999999999999999
m6_i_dsim,2019-03-01,2019-04-01,0.0329320259633821,1.0
m6_i_dsic,2019-03-01,2019-04-01,0.0835130006053166,0.9555555555555554
m6_i_dim,2019-03-01,2019-04-01,0.0464759513278417,0.9069767441860466
m6_i_dic,2019-03-01,2019-04-01,0.11022020746653495,0.9555555555555554
m6_i_crm,2019-03-01,2019-04-01,0.016392019458829322,0.9090909090909091
m6_i_crc,2019-03-01,2019-04-01,0.04885799888728471,0.9555555555555554
m6_i_bm,2019-03-01,2019-04-01,0.017869849443374042,0.8181818181818182
m6_c_dc,2019-03-01,2019-04-01,0.021911626474070457,0.9999999999999999
m6_c_dbn,2019-03-01,2019-04-01,0.01827433227788969,1.0
m6_c_db,2019-03-01,2019-04-01,0.003397795912191687,1.0
m6_c_ctc,2019-03-01,2019-04-01,0.00209924452729449,1.0
m6_c_cc,2019-03-01,2019-04-01,0.007616298583602375,0.9888264649460884
m6_c_cbn,2019-03-01,2019-04-01,0.0065699395962996905,1.0
m3_p_dom,2019-03-01,2019-04-01,0.05194021100894773,1.0
m3_p_docm,2019-03-01,2019-04-01,0.02021836582845998,1.0
m3_p_docc,2019-03-01,2019-04-01,0.029820055690458494,0.9555555555555554
m3_p_doc,2019-03-01,2019-04-01,0.09272451672906891,0.9999999999999999
m3_p_dnom,2019-03-01,2019-04-01,0.018901340860310832,1.0
m3_p_dnoc,2019-03-01,2019-04-01,0.024004195914671417,0.9999999999999999
m3_p_dlrm,2019-03-01,2019-04-01,0.0035153535565560015,0.9545454545454546
m3_p_dlrc,2019-03-01,2019-04-01,0.011118332509803154,0.9555555555555554
m3_p_dim,2019-03-01,2019-04-01,0.010500302276127,0.9545454545454546
m3_p_dic,2019-03-01,2019-04-01,0.019828152267736692,0.9555555555555554
m3_p_dcrm,2019-03-01,2019-04-01,0.027874325234511603,0.9545454545454546
m3_p_dcrc,2019-03-01,2019-04-01,0.04019461161151331,0.9555555555555554
m3_p_dcm,2019-03-01,2019-04-01,0.021103415080553807,1.0
m3_p_dcc,2019-03-01,2019-04-01,0.032623978272939294,0.9555555555555554
m3_p_com,2019-03-01,2019-04-01,0.02821456241548546,0.6818181818181819
m3_p_cocm,2019-03-01,2019-04-01,0.01192731254885603,0.7727272727272727
m3_p_cocc,2019-03-01,2019-04-01,0.02244333732339901,0.9999999999999999
m3_p_coc,2019-03-01,2019-04-01,0.32035725470298543,0.9555555555555554
m3_p_cnom,2019-03-01,2019-04-01,0.003926266487936431,1.0
m3_p_cnoc,2019-03-01,2019-04-01,0.0043769281783423986,0.9999999999999999
m3_p_clm,2019-03-01,2019-04-01,0.006629353346317756,0.8461538461538461
m3_p_clc,2019-03-01,2019-04-01,0.014672235963277474,0.9999999999999999
m3_p_cissc,2019-03-01,2019-04-01,0.0019274776496727845,1.0
m3_p_cisf,2019-03-01,2019-04-01,0.0012363834124829232,1.0
m3_p_cisbs,2019-03-01,2019-04-01,0.005152296568298118,1.0
m3_p_ccrm,2019-03-01,2019-04-01,0.002772671883724263,1.0
m3_p_ccrc,2019-03-01,2019-04-01,0.002629037223082711,0.9555555555555554
m3_p_ccm,2019-03-01,2019-04-01,0.011975832362210177,0.7727272727272727
m3_p_ccc,2019-03-01,2019-04-01,0.022642591529952474,0.9999999999999999
m3_i_dsim,2019-03-01,2019-04-01,0.032788762661322586,1.0
m3_i_dsic,2019-03-01,2019-04-01,0.0835130006053166,0.9555555555555554
m3_i_dim,2019-03-01,2019-04-01,0.04575495473786989,0.9534883720930234
m3_i_dic,2019-03-01,2019-04-01,0.11022020746653495,0.9555555555555554
m3_i_crm,2019-03-01,2019-04-01,0.013172704447917623,0.9545454545454546
m3_i_crc,2019-03-01,2019-04-01,0.04885799888728471,0.9555555555555554
m3_i_bm,2019-03-01,2019-04-01,0.012974356086503483,0.8181818181818182
m3_c_dc,2019-03-01,2019-04-01,0.021911626474070457,0.9999999999999999
m3_c_dbn,2019-03-01,2019-04-01,0.01827433227788969,1.0
m3_c_db,2019-03-01,2019-04-01,0.003404343713349903,1.0
m3_c_ctc,2019-03-01,2019-04-01,0.002085589328937764,0.9545454545454546
m3_c_cc,2019-03-01,2019-04-01,0.007616298583602375,0.9888264649460884
m3_c_cbn,2019-03-01,2019-04-01,0.0065699395962996905,1.0
m1_p_dom,2019-03-01,2019-04-01,0.020156249885303724,1.0
m1_p_docm,2019-03-01,2019-04-01,0.011309795845094704,1.0
m1_p_docc,2019-03-01,2019-04-01,0.009792334990592842,0.9999999999999999
m1_p_doc,2019-03-01,2019-04-01,0.027154166085968854,0.9999999999999999
m1_p_dnom,2019-03-01,2019-04-01,0.0005011491114437527,1.0
m1_p_dnoc,2019-03-01,2019-04-01,0.0011613233002972798,0.9999999999999999
m1_p_dlrm,2019-03-01,2019-04-01,0.0010990144256675272,1.0
m1_p_dlrc,2019-03-01,2019-04-01,0.0012177650280733292,0.9999999999999999
m1_p_dim,2019-03-01,2019-04-01,0.0005754817857793897,1.0
m1_p_dic,2019-03-01,2019-04-01,0.0016547172327147713,0.9999999999999999
m1_p_dcrm,2019-03-01,2019-04-01,0.00046925234493100853,1.0
m1_p_dcrc,2019-03-01,2019-04-01,0.002430669231827805,0.9999999999999999
m1_p_dcm,2019-03-01,2019-04-01,0.010960865277565972,1.0
m1_p_dcc,2019-03-01,2019-04-01,0.009812362850770496,0.9999999999999999
m1_p_com,2019-03-01,2019-04-01,0.004557874115969026,1.0
m1_p_cocm,2019-03-01,2019-04-01,0.003440183924355584,1.0
m1_p_cocc,2019-03-01,2019-04-01,0.004030767586340189,0.9999999999999999
m1_p_coc,2019-03-01,2019-04-01,0.006689671870924039,0.9999999999999999
