var,date_start,date_end,psi,taub
dotv_wwwwwwy_om6,2019-03-01,2019-04-01,0.0,
dotv_wwwwwwy_om5,2019-03-01,2019-04-01,0.0,
dotv_wwwwwwy_om4,2019-03-01,2019-04-01,0.0,
dotv_wwwwwwy_om3,2019-03-01,2019-04-01,0.0,
dotv_wwwwwwy_om2,2019-03-01,2019-04-01,0.0,
dotv_wwwwwwy_om1,2019-03-01,2019-04-01,0.0,
dotv_wwwwwww_om6,2019-03-01,2019-04-01,0.0,
dotv_wwwwwww_om5,2019-03-01,2019-04-01,0.0,
dotv_wwwwwww_om4,2019-03-01,2019-04-01,0.0,
dotv_wwwwwww_om3,2019-03-01,2019-04-01,0.0,
dotv_wwwwwww_om2,2019-03-01,2019-04-01,0.0,
dotv_wwwwwww_om1,2019-03-01,2019-04-01,0.0,
donv_wwwwwwy_om6,2019-03-01,2019-04-01,0.0,
donv_wwwwwwy_om5,2019-03-01,2019-04-01,0.0,
donv_wwwwwwy_om4,2019-03-01,2019-04-01,0.0,
donv_wwwwwwy_om3,2019-03-01,2019-04-01,0.0,
donv_wwwwwwy_om2,2019-03-01,2019-04-01,0.0,
donv_wwwwwwy_om1,2019-03-01,2019-04-01,0.0,
donv_wwwwwww_om6,2019-03-01,2019-04-01,0.0,
donv_wwwwwww_om5,2019-03-01,2019-04-01,0.0,
donv_wwwwwww_om4,2019-03-01,2019-04-01,0.0,
donv_wwwwwww_om3,2019-03-01,2019-04-01,0.0,
donv_wwwwwww_om2,2019-03-01,2019-04-01,0.0,
donv_wwwwwww_om1,2019-03-01,2019-04-01,0.0,
donv_wwwpfcy_om6,2019-03-01,2019-04-01,0.0,
donv_wwwpfcy_om5,2019-03-01,2019-04-01,0.0,
donv_wwwpfcy_om4,2019-03-01,2019-04-01,0.0,
donv_wwwpfcy_om3,2019-03-01,2019-04-01,0.0,
donv_wwwpfcy_om2,2019-03-01,2019-04-01,0.0,
donv_wwwpfcy_om1,2019-03-01,2019-04-01,0.0,
donv_wwwpfcw_om6,2019-03-01,2019-04-01,0.0,
donv_wwwpfcw_om5,2019-03-01,2019-04-01,0.0,
donv_wwwpfcw_om4,2019-03-01,2019-04-01,0.0,
donv_wwwpfcw_om3,2019-03-01,2019-04-01,0.0,
donv_wwwpfcw_om2,2019-03-01,2019-04-01,0.0,
donv_wwwpfcw_om1,2019-03-01,2019-04-01,0.0,
donv_wwwpfcn_om6,2019-03-01,2019-04-01,0.0,
donv_wwwpfcn_om4,2019-03-01,2019-04-01,0.0,
donv_wwwpfcn_om1,2019-03-01,2019-04-01,0.0,
donv_wwwpdly_om6,2019-03-01,2019-04-01,0.0,
