var,date_start,date_end,psi,taub
other_budget__42_amount_sum_6m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_sum_3m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_sum_1m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_min_6m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_min_3m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_min_1m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_max_6m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_max_3m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_max_1m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
other_budget__42_amount_cnt_3m,2019-03-01,2019-04-01,0.0,
other_budget__42_amount_cnt_1m,2019-03-01,2019-04-01,0.0,
other_budget__42_amount_big_6m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_big_3m,2019-03-01,2019-04-01,inf,
other_budget__42_amount_big_1m,2019-03-01,2019-04-01,inf,
other_budget__42_alipay_amount_sum_6m,2019-03-01,2019-04-01,inf,
other_budget__42_alipay_amount_sum_3m,2019-03-01,2019-04-01,inf,
other_budget__42_alipay_amount_sum_1m,2019-03-01,2019-04-01,inf,
other_budget__41_wechatpay_amount_sum_6m,2019-03-01,2019-04-01,inf,
other_budget__41_wechatpay_amount_sum_3m,2019-03-01,2019-04-01,inf,
other_budget__41_wechatpay_amount_sum_1m,2019-03-01,2019-04-01,inf,
other_budget__41_orgcnt_6m,2019-03-01,2019-04-01,0.0,
other_budget__41_orgcnt_3m,2019-03-01,2019-04-01,0.0,
other_budget__41_orgcnt_1m,2019-03-01,2019-04-01,inf,
other_budget__41_jdpay_amount_sum_6m,2019-03-01,2019-04-01,inf,
other_budget__41_jdpay_amount_sum_3m,2019-03-01,2019-04-01,inf,
other_budget__41_jdpay_amount_sum_1m,2019-03-01,2019-04-01,inf,
other_budget__41_cnt_6m,2019-03-01,2019-04-01,0.0,
other_budget__41_cnt_3m,2019-03-01,2019-04-01,0.0,
other_budget__41_cnt_1m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_sum_6m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_sum_3m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_sum_1m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_min_6m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_min_3m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_min_1m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_max_6m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_max_3m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_max_1m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
other_budget__41_amount_cnt_3m,2019-03-01,2019-04-01,0.0,
other_budget__41_amount_cnt_1m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_big_6m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_big_3m,2019-03-01,2019-04-01,inf,
other_budget__41_amount_big_1m,2019-03-01,2019-04-01,inf,
other_budget__41_alipay_amount_sum_6m,2019-03-01,2019-04-01,inf,
other_budget__41_alipay_amount_sum_3m,2019-03-01,2019-04-01,inf,
other_budget__41_alipay_amount_sum_1m,2019-03-01,2019-04-01,inf,
other_budget__0_cnt_6m,2019-03-01,2019-04-01,0.0,
other_budget__0_cnt_3m,2019-03-01,2019-04-01,0.0,
other_budget__0_cnt_1m,2019-03-01,2019-04-01,inf,
onlineshopping__7_cnt_6m,2019-03-01,2019-04-01,inf,
onlineshopping__7_cnt_1m,2019-03-01,2019-04-01,inf,
onlineshopping__6_cnt_6m,2019-03-01,2019-04-01,0.0,
onlineshopping__6_cnt_1m,2019-03-01,2019-04-01,inf,
