var,date_start,date_end,psi,taub
loan__58_finance_amount_cnt_7d,2019-03-04,2019-03-11,1.7674626910951252e-05,0.9545454545454546
loan__58_finance_amount_cnt_15d,2019-03-04,2019-03-11,0.00010328528325254652,0.9555555555555554
loan__58_cnt_7d,2019-03-04,2019-03-11,0.0001425821078485041,1.0
loan__58_cnt_15d,2019-03-04,2019-03-11,0.0009885409959747996,0.9555555555555554
loan__58_amount_sum_7d,2019-03-04,2019-03-11,3.8776682264894865e-05,0.8666666666666666
loan__58_amount_sum_15d,2019-03-04,2019-03-11,0.0006242177012532031,0.8222222222222221
loan__58_amount_max_7d,2019-03-04,2019-03-11,2.678914473006136e-05,0.9999999999999999
loan__58_amount_max_15d,2019-03-04,2019-03-11,0.0005966531306034646,0.911111111111111
loan__58_amount_cnt_7d,2019-03-04,2019-03-11,0.0001511943457034496,0.9999999999999999
loan__58_amount_cnt_15d,2019-03-04,2019-03-11,0.0008437631130143901,1.0
loan__54_strong_orgcnt_7d,2019-03-04,2019-03-11,1.957459115749058e-10,1.0
loan__54_strong_orgcnt_15d,2019-03-04,2019-03-11,4.673000264069159e-08,1.0
loan__54_strong_cnt_7d,2019-03-04,2019-03-11,6.302926988364508e-08,0.752772652709081
loan__54_strong_cnt_15d,2019-03-04,2019-03-11,1.0622171289118287e-07,0.752772652709081
loan__54_stages_orgcnt_7d,2019-03-04,2019-03-11,0.00018434772192036552,1.0
loan__54_stages_orgcnt_15d,2019-03-04,2019-03-11,0.00045815722213562326,1.0
loan__54_stages_cnt_7d,2019-03-04,2019-03-11,0.00018988349609138207,1.0
loan__54_stages_cnt_15d,2019-03-04,2019-03-11,0.00047529467749758014,1.0
loan__54_petty_orgcnt_7d,2019-03-04,2019-03-11,2.044408583182872e-05,1.0
loan__54_petty_orgcnt_15d,2019-03-04,2019-03-11,0.00018875474096434524,0.9473309334313418
loan__54_petty_cnt_7d,2019-03-04,2019-03-11,5.4667011959538825e-05,0.9523809523809522
loan__54_petty_cnt_15d,2019-03-04,2019-03-11,0.000245294199863556,0.9545454545454546
loan__54_orgcnt_7d,2019-03-04,2019-03-11,0.00011046987865294076,1.0
loan__54_orgcnt_15d,2019-03-04,2019-03-11,0.0005267933638240958,0.9636241116594314
loan__54_little_orgcnt_7d,2019-03-04,2019-03-11,2.6160159376444117e-07,1.0
loan__54_little_orgcnt_15d,2019-03-04,2019-03-11,1.329972102350503e-05,1.0
loan__54_little_cnt_7d,2019-03-04,2019-03-11,1.054761879657958e-06,1.0
loan__54_little_cnt_15d,2019-03-04,2019-03-11,1.4767931840683368e-05,1.0
loan__54_finance_orgcnt_7d,2019-03-04,2019-03-11,7.396010488257356e-07,1.0
loan__54_finance_orgcnt_15d,2019-03-04,2019-03-11,8.582431580221346e-06,1.0
loan__54_finance_cnt_7d,2019-03-04,2019-03-11,1.1226618816185744e-06,0.9885710532241612
loan__54_finance_cnt_15d,2019-03-04,2019-03-11,9.381685756260522e-06,0.9555555555555554
loan__54_cnt_7d,2019-03-04,2019-03-11,0.0001340008236283245,0.9523809523809522
