category_2,category_3,total_num,unique_num,table_name,dt
recruit,9,1985015,1858670,gdl_jrs_msg_parse,2019-03-01
airplane,0,679351,468497,gdl_jrs_msg_parse,2019-03-01
law,0,141680,114029,gdl_jrs_msg_parse,2019-03-01
secondhand,88,2,1,gdl_jrs_msg_parse,2019-03-01
gong_ji_jin,0,175469,171051,gdl_jrs_msg_parse,2019-03-01
first_aid,0,3982,3725,gdl_jrs_msg_parse,2019-03-01
taxi,8,12,11,gdl_jrs_msg_parse,2019-03-01
bank_budget,1,8944446,6115831,gdl_jrs_msg_parse,2019-03-01
room,11,70483,68284,gdl_jrs_msg_parse,2019-03-01
transit,6,4608,4070,gdl_jrs_msg_parse,2019-03-01
games,0,417363,354263,gdl_jrs_msg_parse,2019-03-01
music,0,66919,57475,gdl_jrs_msg_parse,2019-03-01
room,0,519161,453633,gdl_jrs_msg_parse,2019-03-01
report,9,17698,16269,gdl_jrs_msg_parse,2019-03-01
edu_school,71,2474391,1961392,gdl_jrs_msg_parse,2019-03-01
loan,0,1735101,1532378,gdl_jrs_msg_parse,2019-03-01
transit,1,27274,24751,gdl_jrs_msg_parse,2019-03-01
metro,9,6630,5382,gdl_jrs_msg_parse,2019-03-01
edu_pay,6,32327,31440,gdl_jrs_msg_parse,2019-03-01
loan,137,987866,877145,gdl_jrs_msg_parse,2019-03-01
loan,1,303926,272316,gdl_jrs_msg_parse,2019-03-01
other_budget,0,956648,913583,gdl_jrs_msg_parse,2019-03-01
credit_card,52,21632,21533,gdl_jrs_msg_parse,2019-03-01
renting,6,40378,36853,gdl_jrs_msg_parse,2019-03-01
renting,1,149478,134218,gdl_jrs_msg_parse,2019-03-01
loan,888,2785938,1575028,gdl_jrs_msg_parse,2019-03-01
games,1,2436717,2168941,gdl_jrs_msg_parse,2019-03-01
report,5,62834,53736,gdl_jrs_msg_parse,2019-03-01
payinroom,0,710663,673133,gdl_jrs_msg_parse,2019-03-01
credit_card,59,70677,70205,gdl_jrs_msg_parse,2019-03-01
first_aid,105,67102,64291,gdl_jrs_msg_parse,2019-03-01
passtran,1,29277,27054,gdl_jrs_msg_parse,2019-03-01
passtran,9,20581,19329,gdl_jrs_msg_parse,2019-03-01
photograph,6,4,4,gdl_jrs_msg_parse,2019-03-01
room,9,2368774,2322942,gdl_jrs_msg_parse,2019-03-01
passtran,7,1978,1897,gdl_jrs_msg_parse,2019-03-01
mother,0,12675,11998,gdl_jrs_msg_parse,2019-03-01
train,5,134829,119620,gdl_jrs_msg_parse,2019-03-01
report,0,30910,28539,gdl_jrs_msg_parse,2019-03-01
credit_card,1,515167,430585,gdl_jrs_msg_parse,2019-03-01
medical,6,147583,132247,gdl_jrs_msg_parse,2019-03-01
photograph,1,1381,1345,gdl_jrs_msg_parse,2019-03-01
hotel,0,1522543,1384826,gdl_jrs_msg_parse,2019-03-01
electric,15,661425,599647,gdl_jrs_msg_parse,2019-03-01
payinroom,9,3120369,3043126,gdl_jrs_msg_parse,2019-03-01
taxi,6,1523564,1267121,gdl_jrs_msg_parse,2019-03-01
ship,0,4515,3742,gdl_jrs_msg_parse,2019-03-01
credit_card,55,2773462,2400811,gdl_jrs_msg_parse,2019-03-01
water,9,79126,73909,gdl_jrs_msg_parse,2019-03-01
tourism,6,495803,434104,gdl_jrs_msg_parse,2019-03-01
live,9,271439,250490,gdl_jrs_msg_parse,2019-03-01
metro,1,288,282,gdl_jrs_msg_parse,2019-03-01
chat,1,2279061,1856162,gdl_jrs_msg_parse,2019-03-01
invest,122,402841,380215,gdl_jrs_msg_parse,2019-03-01
bank_budget,23,2930643,2550878,gdl_jrs_msg_parse,2019-03-01
passtran,2,3999,3779,gdl_jrs_msg_parse,2019-03-01
medical,9,4851436,4731302,gdl_jrs_msg_parse,2019-03-01
other_budget,41,1740475,1568267,gdl_jrs_msg_parse,2019-03-01
loan,54,307459,262995,gdl_jrs_msg_parse,2019-03-01
secondhand,13,197,184,gdl_jrs_msg_parse,2019-03-01
secondhand,11,1464,1385,gdl_jrs_msg_parse,2019-03-01
transit,8,49,21,gdl_jrs_msg_parse,2019-03-01
loan,58,1367263,1195739,gdl_jrs_msg_parse,2019-03-01
hotel,9,938433,891535,gdl_jrs_msg_parse,2019-03-01
other_budget,9,3598018,3396619,gdl_jrs_msg_parse,2019-03-01
renting,0,166070,106802,gdl_jrs_msg_parse,2019-03-01
express,7,52710,51150,gdl_jrs_msg_parse,2019-03-01
onlineshopping,0,3059267,2637834,gdl_jrs_msg_parse,2019-03-01
mother,7,26268,22517,gdl_jrs_msg_parse,2019-03-01
movie,7,5110,4758,gdl_jrs_msg_parse,2019-03-01
government,111,15171533,14913563,gdl_jrs_msg_parse,2019-03-01
credit_card,62,15417,15303,gdl_jrs_msg_parse,2019-03-01
bycicle,1,190365,179219,gdl_jrs_msg_parse,2019-03-01
airplane,7,17844,13860,gdl_jrs_msg_parse,2019-03-01
police,0,1,1,gdl_jrs_msg_parse,2019-03-01
she_bao,9,3317,3077,gdl_jrs_msg_parse,2019-03-01
bank_budget,21,14620487,10816097,gdl_jrs_msg_parse,2019-03-01
invest,0,1068487,724859,gdl_jrs_msg_parse,2019-03-01
medical,7,32563,30609,gdl_jrs_msg_parse,2019-03-01
invest,9,1097444,999944,gdl_jrs_msg_parse,2019-03-01
credit_card,53,28400,28192,gdl_jrs_msg_parse,2019-03-01
restaurant,7,2901,2784,gdl_jrs_msg_parse,2019-03-01
car,502,18614,17239,gdl_jrs_msg_parse,2019-03-01
music,7,21,21,gdl_jrs_msg_parse,2019-03-01
bank_budget,9,7805716,7528122,gdl_jrs_msg_parse,2019-03-01
metro,6,962,861,gdl_jrs_msg_parse,2019-03-01
read,9,4509188,4434584,gdl_jrs_msg_parse,2019-03-01
bycicle,9,127091,125317,gdl_jrs_msg_parse,2019-03-01
onlineshopping,7,309293,264129,gdl_jrs_msg_parse,2019-03-01
invest,127,9187,5292,gdl_jrs_msg_parse,2019-03-01
photograph,9,1451,1422,gdl_jrs_msg_parse,2019-03-01
yys,16,9382007,8779347,gdl_jrs_msg_parse,2019-03-01
airplane,2,76775,36422,gdl_jrs_msg_parse,2019-03-01
credit_card,58,967781,858300,gdl_jrs_msg_parse,2019-03-01
photograph,888,4651,4481,gdl_jrs_msg_parse,2019-03-01
