tbname,cnt,cnd,size,dt
gdl.gdl_ocm_msg_parse_loan,3268187,2680183,0.167594,2020-09-21
gdl.gdl_ocm_msg_parse_overdue,1769277,1265370,0.0857679,2020-09-21
gdl.gdl_ocm_msg_parse_unmatched,133329694,89328819,33.0054,2020-09-21
dx.pjdx_fin,3346869243,1132557368,297.693,2020-09-21
gdl.gdl_jrs_msg_parse,2396346591,898980827,32.6059,2020-09-21
gdl.gdl_ocm_msg_credit_preprocess,160992235,108113632,2.14461,2020-09-21
gdl.gdl_ocm_msg_parse_bill,8477773,7932344,0.408882,2020-09-21
gdl.gdl_ocm_msg_parse_card_stat,876784,744364,0.0441239,2020-09-21
gdl.gdl_ocm_msg_parse_incom_expns,242094713,97981650,14.0557,2020-09-21
gdl.gdl_ocm_msg_parse_instlm,582325,520443,0.031262,2020-09-21
gdl.gdl_ocm_msg_parse_loan,2228844,1866390,0.112926,2020-09-22
gdl.gdl_ocm_msg_parse_overdue,1735541,1269698,0.0836773,2020-09-22
gdl.gdl_ocm_msg_parse_unmatched,115786788,80267627,28.4496,2020-09-22
dx.pjdx_fin,3165744042,1077203837,281.514,2020-09-22
gdl.gdl_jrs_msg_parse,2207254853,836928348,29.6176,2020-09-22
gdl.gdl_ocm_msg_credit_preprocess,140529317,96753766,1.82167,2020-09-22
gdl.gdl_ocm_msg_parse_bill,6604351,6233619,0.322065,2020-09-22
gdl.gdl_ocm_msg_parse_card_stat,1016742,898329,0.049532,2020-09-22
gdl.gdl_ocm_msg_parse_incom_expns,190620907,76158257,11.1605,2020-09-22
gdl.gdl_ocm_msg_parse_instlm,511696,451938,0.0275567,2020-09-22
gdl.gdl_ocm_msg_parse_loan,1378392,1131772,0.0711596,2020-09-23
gdl.gdl_ocm_msg_parse_overdue,1800060,1365867,0.0861172,2020-09-23
gdl.gdl_ocm_msg_parse_unmatched,128411451,91070075,31.5875,2020-09-23
dx.pjdx_fin,3092022688,1056308707,285.637,2020-09-23
gdl.gdl_jrs_msg_parse,2113724772,801847771,28.7127,2020-09-23
gdl.gdl_ocm_msg_credit_preprocess,135199852,96449332,1.7291,2020-09-23
gdl.gdl_ocm_msg_parse_bill,12054048,11151379,0.595996,2020-09-23
gdl.gdl_ocm_msg_parse_card_stat,766236,651419,0.0384965,2020-09-23
gdl.gdl_ocm_msg_parse_incom_expns,192389096,74547320,11.2366,2020-09-23
gdl.gdl_ocm_msg_parse_instlm,534912,471668,0.0285997,2020-09-23
